# mesh_dimension, injection_load, RA_index, VC_index, size_of_flit, size_of_packet_in_bits, total_received_packets, total_received_flits, received_flits_ratio, average_wireless_utilization, global_average_delay, max_delay, network_throughput, average_IP_throughput, total_energy, dynamic_energy, static_energy
8,0.01,0,4,32,2048,156,9929,0.8165,0,26.69,252,0.5226,0.008165,3.605E-05,2.166E-07,3.583E-05
8,0.02,0,4,32,2048,383,2.428E+04,0.9985,0,93.74,1253,1.278,0.01997,3.636E-05,5.219E-07,3.583E-05
8,0.03,0,4,32,2048,520,3.315E+04,0.9086,0,1020,9294,1.745,0.02726,3.654E-05,7.075E-07,3.583E-05
8,0.04,0,4,32,2048,556,3.566E+04,0.7332,0,1891,1.163E+04,1.877,0.02933,3.661E-05,7.723E-07,3.583E-05
8,0.05,0,4,32,2048,533,3.418E+04,0.5622,0,2799,1.596E+04,1.799,0.02811,3.66E-05,7.626E-07,3.583E-05
8,0.06,0,4,32,2048,555,3.545E+04,0.4859,0,4172,1.561E+04,1.866,0.02915,3.66E-05,7.652E-07,3.583E-05
8,0.07,0,4,32,2048,545,3.493E+04,0.4103,0,5173,1.765E+04,1.838,0.02872,3.656E-05,7.286E-07,3.583E-05
8,0.08,0,4,32,2048,532,3.402E+04,0.3497,0,5610,1.778E+04,1.791,0.02798,3.655E-05,7.15E-07,3.583E-05
8,0.09,0,4,32,2048,543,3.49E+04,0.3189,0,6184,1.687E+04,1.837,0.0287,3.659E-05,7.54E-07,3.583E-05
8,0.1,0,4,32,2048,544,3.5E+04,0.2879,0,6482,1.854E+04,1.842,0.02879,3.661E-05,7.791E-07,3.583E-05
8,0.11,0,4,32,2048,545,3.484E+04,0.2604,0,6652,1.866E+04,1.833,0.02865,3.659E-05,7.529E-07,3.583E-05
8,0.12,0,4,32,2048,540,3.452E+04,0.2365,0,6222,1.596E+04,1.817,0.02838,3.653E-05,7.006E-07,3.583E-05
8,0.13,0,4,32,2048,556,3.554E+04,0.2248,0,7270,1.783E+04,1.871,0.02923,3.66E-05,7.613E-07,3.583E-05
8,0.14,0,4,32,2048,573,3.662E+04,0.2151,0,7627,1.856E+04,1.927,0.03011,3.661E-05,7.77E-07,3.583E-05
8,0.15,0,4,32,2048,562,3.616E+04,0.1983,0,7536,1.917E+04,1.903,0.02974,3.661E-05,7.714E-07,3.583E-05
8,0.16,0,4,32,2048,544,3.490E+04,0.1794,0,7380,1.767E+04,1.837,0.0287,3.656E-05,7.282E-07,3.583E-05
8,0.17,0,4,32,2048,563,3.601E+04,0.1742,0,7907,1.908E+04,1.895,0.02961,3.66E-05,7.674E-07,3.583E-05
8,0.18,0,4,32,2048,566,3.623E+04,0.1655,0,8124,1.894E+04,1.907,0.0298,3.662E-05,7.838E-07,3.583E-05
8,0.19,0,4,32,2048,550,3.541E+04,0.1533,0,8052,1.89E+04,1.864,0.02912,3.657E-05,7.365E-07,3.583E-05
8,0.2,0,4,32,2048,546,3.507E+04,0.1442,0,8437,1.891E+04,1.846,0.02884,3.658E-05,7.469E-07,3.583E-05
