# mesh_dimension, injection_load, RA_index, VC_index, size_of_flit, size_of_packet_in_bits, total_received_packets, total_received_flits, received_flits_ratio, average_wireless_utilization, global_average_delay, max_delay, network_throughput, average_IP_throughput, total_energy, dynamic_energy, static_energy
8,0.01,0,4,32,2048,195,1.253E+04,1.031,0,29.42,440,0.6596,0.01031,3.609E-05,2.557E-07,3.583E-05
8,0.02,0,4,32,2048,379,2.406E+04,0.9895,0,40.33,512,1.267,0.01979,3.634E-05,5.02E-07,3.583E-05
8,0.03,0,4,32,2048,552,3.532E+04,0.9681,0,101,1029,1.859,0.02904,3.654E-05,7.051E-07,3.583E-05
8,0.04,0,4,32,2048,765,4.904E+04,1.008,0,223.1,1879,2.581,0.04033,3.685E-05,1.011E-06,3.583E-05
8,0.05,0,4,32,2048,878,5.61E+04,0.9227,0,1042,6660,2.953,0.04613,3.698E-05,1.142E-06,3.583E-05
8,0.06,0,4,32,2048,881,5.624E+04,0.7708,0,2794,1.5E+04,2.96,0.04625,3.706E-05,1.222E-06,3.583E-05
8,0.07,0,4,32,2048,936,6.011E+04,0.7061,0,2440,1.064E+04,3.163,0.04943,3.711E-05,1.279E-06,3.583E-05
8,0.08,0,4,32,2048,857,5.499E+04,0.5652,0,4033,1.673E+04,2.894,0.04522,3.697E-05,1.138E-06,3.583E-05
8,0.09,0,4,32,2048,850,5.438E+04,0.4969,0,4456,1.641E+04,2.862,0.04472,3.698E-05,1.142E-06,3.583E-05
8,0.1,0,4,32,2048,900,5.733E+04,0.4714,0,4767,1.564E+04,3.017,0.04714,3.704E-05,1.203E-06,3.583E-05
8,0.11,0,4,32,2048,904,5.793E+04,0.4331,0,4853,1.713E+04,3.049,0.04764,3.704E-05,1.205E-06,3.583E-05
8,0.12,0,4,32,2048,909,5.852E+04,0.401,0,5685,1.625E+04,3.08,0.04812,3.705E-05,1.22E-06,3.583E-05
8,0.13,0,4,32,2048,904,5.795E+04,0.3666,0,5830,1.751E+04,3.05,0.04766,3.702E-05,1.184E-06,3.583E-05
8,0.14,0,4,32,2048,868,5.548E+04,0.3259,0,6356,1.763E+04,2.92,0.04563,3.698E-05,1.15E-06,3.583E-05
8,0.15,0,4,32,2048,909,5.845E+04,0.3205,0,6661,1.699E+04,3.076,0.04807,3.709E-05,1.253E-06,3.583E-05
8,0.16,0,4,32,2048,873,5.615E+04,0.2886,0,6528,1.748E+04,2.955,0.04617,3.7E-05,1.165E-06,3.583E-05
8,0.17,0,4,32,2048,929,5.934E+04,0.2871,0,6990,1.77E+04,3.123,0.0488,3.712E-05,1.289E-06,3.583E-05
8,0.18,0,4,32,2048,885,5.686E+04,0.2598,0,7419,1.814E+04,2.993,0.04676,3.706E-05,1.225E-06,3.583E-05
8,0.19,0,4,32,2048,899,5.76E+04,0.2493,0,7289,1.707E+04,3.031,0.04737,3.706E-05,1.223E-06,3.583E-05
8,0.2,0,4,32,2048,933,5.945E+04,0.2444,0,7591,1.815E+04,3.129,0.04889,3.711E-05,1.272E-06,3.583E-05
8,0.21,0,4,32,2048,929,5.957E+04,0.2333,0,7463,1.773E+04,3.135,0.04899,3.711E-05,1.276E-06,3.583E-05
8,0.22,0,4,32,2048,890,5.692E+04,0.2128,0,7921,1.693E+04,2.996,0.04681,3.704E-05,1.204E-06,3.583E-05
8,0.23,0,4,32,2048,910,5.836E+04,0.2087,0,7857,1.832E+04,3.072,0.04799,3.708E-05,1.245E-06,3.583E-05
8,0.24,0,4,32,2048,898,5.757E+04,0.1973,0,7735,1.74E+04,3.03,0.04734,3.705E-05,1.214E-06,3.583E-05
8,0.25,0,4,32,2048,880,5.627E+04,0.1851,0,7767,1.866E+04,2.962,0.04628,3.703E-05,1.197E-06,3.583E-05
8,0.26,0,4,32,2048,877,5.618E+04,0.1777,0,8159,1.814E+04,2.957,0.0462,3.704E-05,1.204E-06,3.583E-05
8,0.27,0,4,32,2048,881,5.654E+04,0.1722,0,8269,1.838E+04,2.976,0.0465,3.704E-05,1.207E-06,3.583E-05
8,0.28,0,4,32,2048,903,5.777E+04,0.1697,0,8246,1.831E+04,3.041,0.04751,3.709E-05,1.252E-06,3.583E-05
8,0.29,0,4,32,2048,884,5.653E+04,0.1603,0,8436,1.851E+04,2.975,0.04649,3.701E-05,1.172E-06,3.583E-05
8,0.3,0,4,32,2048,875,5.612E+04,0.1539,0,8283,1.792E+04,2.954,0.04616,3.7E-05,1.169E-06,3.583E-05
8,0.31,0,4,32,2048,886,5.712E+04,0.1515,0,8570,1.812E+04,3.006,0.04697,3.707E-05,1.238E-06,3.583E-05
8,0.32,0,4,32,2048,905,5.815E+04,0.1494,0,8518,1.843E+04,3.06,0.04782,3.708E-05,1.246E-06,3.583E-05
8,0.33,0,4,32,2048,904,5.823E+04,0.1451,0,8706,1.821E+04,3.065,0.04789,3.709E-05,1.261E-06,3.583E-05
8,0.34,0,4,32,2048,895,5.715E+04,0.1382,0,8833,1.903E+04,3.008,0.047,3.7E-05,1.17E-06,3.583E-05
8,0.35,0,4,32,2048,917,5.86E+04,0.1377,0,8719,1.913E+04,3.084,0.04819,3.708E-05,1.248E-06,3.583E-05
