# mesh_dimension, injection_load, RA_index, VC_index, size_of_flit, size_of_packet_in_bits, total_received_packets, total_received_flits, received_flits_ratio, average_wireless_utilization, global_average_delay, max_delay, network_throughput, average_IP_throughput, total_energy, dynamic_energy, static_energy
8,0.46,0,4,32,2048,1066,6.837E+04,0.1222,0,9025,1.914E+04,3.599,0.05623,3.717E-05,1.334E-06,3.583E-05
8,0.47,0,4,32,2048,1201,7.691E+04,0.1346,0,8878,1.835E+04,4.048,0.06325,3.748E-05,1.65E-06,3.583E-05
8,0.48,0,4,32,2048,1214,7.797E+04,0.1336,0,8666,1.856E+04,4.104,0.06412,3.747E-05,1.639E-06,3.583E-05
8,0.49,0,4,32,2048,1218,7.79E+04,0.1307,0,8828,1.854E+04,4.1,0.06406,3.749E-05,1.655E-06,3.583E-05
8,0.5,0,4,32,2048,1225,7.867E+04,0.1294,0,9005,1.866E+04,4.141,0.0647,3.748E-05,1.649E-06,3.583E-05
8,0.51,0,4,32,2048,1226,7.854E+04,0.1266,0,9042,1.89E+04,4.134,0.06459,3.746E-05,1.625E-06,3.583E-05
8,0.52,0,4,32,2048,1193,7.668E+04,0.1213,0,9071,1.892E+04,4.036,0.06306,3.742E-05,1.591E-06,3.583E-05
8,0.53,0,4,32,2048,1261,8.087E+04,0.1255,0,9138,1.855E+04,4.256,0.06651,3.753E-05,1.698E-06,3.583E-05
8,0.54,0,4,32,2048,1165,7.467E+04,0.1137,0,8903,1.901E+04,3.93,0.06141,3.737E-05,1.536E-06,3.583E-05
8,0.55,0,4,32,2048,1195,7.641E+04,0.1143,0,8902,1.882E+04,4.022,0.06284,3.746E-05,1.626E-06,3.583E-05
8,0.56,0,4,32,2048,1200,7.698E+04,0.1131,0,8956,1.861E+04,4.052,0.06331,3.745E-05,1.612E-06,3.583E-05
8,0.57,0,4,32,2048,1212,7.803E+04,0.1126,0,9390,1.871E+04,4.107,0.06417,3.746E-05,1.626E-06,3.583E-05
8,0.58,0,4,32,2048,1201,7.695E+04,0.1091,0,9100,1.916E+04,4.05,0.06328,3.744E-05,1.604E-06,3.583E-05
8,0.59,0,4,32,2048,1195,7.707E+04,0.1074,0,9242,1.873E+04,4.056,0.06338,3.747E-05,1.635E-06,3.583E-05
8,0.6,0,4,32,2048,1222,7.834E+04,0.1074,0,9188,1.891E+04,4.123,0.06442,3.745E-05,1.613E-06,3.583E-05
8,0.61,0,4,32,2048,1238,7.919E+04,0.1068,0,9051,1.864E+04,4.168,0.06513,3.752E-05,1.689E-06,3.583E-05
8,0.62,0,4,32,2048,1198,7.695E+04,0.1021,0,9127,1.898E+04,4.05,0.06328,3.746E-05,1.627E-06,3.583E-05
8,0.63,0,4,32,2048,1185,7.592E+04,0.0991,0,9099,1.864E+04,3.996,0.06244,3.743E-05,1.597E-06,3.583E-05
8,0.64,0,4,32,2048,1241,7.949E+04,0.1021,0,9170,1.865E+04,4.184,0.06537,3.751E-05,1.679E-06,3.583E-05
8,0.65,0,4,32,2048,1240,7.935E+04,0.1004,0,9468,1.923E+04,4.177,0.06526,3.754E-05,1.711E-06,3.583E-05
8,0.66,0,4,32,2048,1157,7.406E+04,0.09228,0,9130,1.828E+04,3.898,0.06091,3.733E-05,1.494E-06,3.583E-05
8,0.67,0,4,32,2048,1253,8.031E+04,0.09857,0,9176,1.923E+04,4.227,0.06604,3.758E-05,1.747E-06,3.583E-05
8,0.68,0,4,32,2048,1184,7.567E+04,0.09151,0,9313,1.911E+04,3.983,0.06223,3.74E-05,1.564E-06,3.583E-05
8,0.69,0,4,32,2048,1164,7.473E+04,0.08907,0,9189,1.895E+04,3.933,0.06146,3.742E-05,1.591E-06,3.583E-05
8,0.7,0,4,32,2048,1191,7.629E+04,0.08963,0,9379,1.921E+04,4.015,0.06274,3.742E-05,1.59E-06,3.583E-05
8,0.71,0,4,32,2048,1211,7.764E+04,0.08993,0,9403,1.842E+04,4.086,0.06385,3.746E-05,1.626E-06,3.583E-05
8,0.72,0,4,32,2048,1166,7.479E+04,0.08543,0,9314,1.893E+04,3.937,0.06151,3.74E-05,1.568E-06,3.583E-05
8,0.73,0,4,32,2048,1175,7.508E+04,0.08457,0,9432,1.905E+04,3.951,0.06174,3.742E-05,1.585E-06,3.583E-05
8,0.74,0,4,32,2048,1193,7.626E+04,0.08475,0,9458,1.904E+04,4.014,0.06271,3.751E-05,1.672E-06,3.583E-05
8,0.75,0,4,32,2048,1215,7.797E+04,0.08549,0,9544,1.895E+04,4.103,0.06412,3.749E-05,1.657E-06,3.583E-05
8,0.76,0,4,32,2048,1258,8.039E+04,0.08698,0,9429,1.91E+04,4.231,0.06611,3.754E-05,1.702E-06,3.583E-05
8,0.77,0,4,32,2048,1177,7.509E+04,0.08019,0,9396,1.933E+04,3.952,0.06175,3.738E-05,1.544E-06,3.583E-05
8,0.78,0,4,32,2048,1248,7.991E+04,0.08425,0,9579,1.898E+04,4.206,0.06572,3.751E-05,1.671E-06,3.583E-05
8,0.79,0,4,32,2048,1194,7.627E+04,0.07939,0,9495,1.89E+04,4.014,0.06272,3.748E-05,1.645E-06,3.583E-05
8,0.8,0,4,32,2048,1198,7.643E+04,0.07856,0,9453,1.968E+04,4.022,0.06285,3.744E-05,1.603E-06,3.583E-05
