# mesh_dimension, injection_load, RA_index, VC_index, size_of_flit, size_of_packet_in_bits, total_received_packets, total_received_flits, received_flits_ratio, average_wireless_utilization, global_average_delay, max_delay, network_throughput, average_IP_throughput, total_energy, dynamic_energy, static_energy
8,0.01,0,4,32,2048,184,1.178E+04,0.9683,0,18.72,192,0.6197,0.009683,3.606E-05,2.258E-07,3.583E-05
8,0.02,0,4,32,2048,402,2.576E+04,1.059,0,30.39,539,1.356,0.02118,3.633E-05,4.966E-07,3.583E-05
8,0.03,0,4,32,2048,549,3.511E+04,0.9625,0,26.92,294,1.848,0.02888,3.651E-05,6.722E-07,3.583E-05
8,0.04,0,4,32,2048,768,4.922E+04,1.012,0,48.65,734,2.591,0.04048,3.68E-05,9.706E-07,3.583E-05
8,0.05,0,4,32,2048,949,6.069E+04,0.9982,0,75.48,891,3.194,0.04991,3.701E-05,1.173E-06,3.583E-05
8,0.06,0,4,32,2048,1144,7.317E+04,1.003,0,114,1894,3.851,0.06017,3.726E-05,1.427E-06,3.583E-05
8,0.07,0,4,32,2048,1275,8.155E+04,0.958,0,208.7,1975,4.292,0.06706,3.744E-05,1.607E-06,3.583E-05
8,0.08,0,4,32,2048,1474,9.386E+04,0.9648,0,275.3,2818,4.94,0.07718,3.765E-05,1.818E-06,3.583E-05
8,0.09,0,4,32,2048,1647,1.049E+05,0.9584,0,1177,1.055E+04,5.52,0.08625,3.786E-05,2.027E-06,3.583E-05
8,0.1,0,4,32,2048,1623,1.036E+05,0.8517,0,1385,1.229E+04,5.451,0.08517,3.785E-05,2.012E-06,3.583E-05
8,0.11,0,4,32,2048,1741,1.114E+05,0.8332,0,1979,1.087E+04,5.866,0.09165,3.8E-05,2.164E-06,3.583E-05
8,0.12,0,4,32,2048,1725,1.102E+05,0.7556,0,2652,1.482E+04,5.803,0.09067,3.799E-05,2.157E-06,3.583E-05
8,0.13,0,4,32,2048,1745,1.117E+05,0.7064,0,2997,1.159E+04,5.877,0.09183,3.802E-05,2.189E-06,3.583E-05
8,0.14,0,4,32,2048,1712,1.093E+05,0.6423,0,3372,1.41E+04,5.755,0.08992,3.797E-05,2.134E-06,3.583E-05
8,0.15,0,4,32,2048,1624,1.039E+05,0.5694,0,3819,1.517E+04,5.466,0.08541,3.782E-05,1.984E-06,3.583E-05
8,0.16,0,4,32,2048,1708,1.093E+05,0.5618,0,4372,1.405E+04,5.753,0.08989,3.801E-05,2.18E-06,3.583E-05
8,0.17,0,4,32,2048,1749,1.117E+05,0.5405,0,4517,1.431E+04,5.881,0.09189,3.804E-05,2.207E-06,3.583E-05
8,0.18,0,4,32,2048,1808,1.158E+05,0.529,0,4113,1.374E+04,6.095,0.09523,3.811E-05,2.278E-06,3.583E-05
8,0.19,0,4,32,2048,1785,1.143E+05,0.4947,0,5165,1.6E+04,6.015,0.09398,3.804E-05,2.209E-06,3.583E-05
8,0.2,0,4,32,2048,1819,1.165E+05,0.479,0,4859,1.584E+04,6.131,0.0958,3.812E-05,2.289E-06,3.583E-05
8,0.21,0,4,32,2048,1730,1.107E+05,0.4336,0,5552,1.549E+04,5.828,0.09106,3.804E-05,2.207E-06,3.583E-05
8,0.22,0,4,32,2048,1723,1.104E+05,0.4128,0,5489,1.593E+04,5.812,0.09082,3.805E-05,2.214E-06,3.583E-05
8,0.23,0,4,32,2048,1755,1.125E+05,0.4023,0,5644,1.561E+04,5.922,0.09254,3.805E-05,2.218E-06,3.583E-05
8,0.24,0,4,32,2048,1724,1.102E+05,0.3776,0,6269,1.689E+04,5.8,0.09062,3.802E-05,2.191E-06,3.583E-05
8,0.25,0,4,32,2048,1784,1.145E+05,0.3768,0,6078,1.549E+04,6.029,0.0942,3.811E-05,2.277E-06,3.583E-05
8,0.26,0,4,32,2048,1714,1.097E+05,0.3469,0,6305,1.63E+04,5.773,0.0902,3.798E-05,2.142E-06,3.583E-05
8,0.27,0,4,32,2048,1713,1.095E+05,0.3334,0,6627,1.807E+04,5.762,0.09003,3.803E-05,2.194E-06,3.583E-05
8,0.28,0,4,32,2048,1726,1.107E+05,0.3251,0,6759,1.686E+04,5.825,0.09102,3.803E-05,2.198E-06,3.583E-05
8,0.29,0,4,32,2048,1695,1.086E+05,0.308,0,6851,1.539E+04,5.716,0.08932,3.799E-05,2.156E-06,3.583E-05
