# mesh_dimension, injection_load, RA_index, VC_index, size_of_flit, size_of_packet_in_bits, total_received_packets, total_received_flits, received_flits_ratio, average_wireless_utilization, global_average_delay, max_delay, network_throughput, average_IP_throughput, total_energy, dynamic_energy, static_energy
8,0.01,0,4,32,2048,179,1.142E+04,0.9391,0,19.36,143,0.601,0.009391,3.607E-05,2.36E-07,3.583E-05
8,0.02,0,4,32,2048,384,2.46E+04,1.011,0,31.35,387,1.295,0.02023,3.631E-05,4.726E-07,3.583E-05
8,0.03,0,4,32,2048,567,3.637E+04,0.997,0,37.5,465,1.914,0.02991,3.657E-05,7.357E-07,3.583E-05
8,0.04,0,4,32,2048,768,4.918E+04,1.011,0,67.31,827,2.588,0.04044,3.683E-05,9.914E-07,3.583E-05
8,0.05,0,4,32,2048,965,6.173E+04,1.015,0,106,1475,3.249,0.05077,3.706E-05,1.222E-06,3.583E-05
8,0.06,0,4,32,2048,1102,7.045E+04,0.9655,0,230.1,3547,3.708,0.05793,3.723E-05,1.394E-06,3.583E-05
8,0.07,0,4,32,2048,1256,7.998E+04,0.9396,0,753,8249,4.209,0.06577,3.744E-05,1.602E-06,3.583E-05
8,0.08,0,4,32,2048,1394,8.912E+04,0.9162,0,1349,6974,4.691,0.07329,3.761E-05,1.779E-06,3.583E-05
8,0.09,0,4,32,2048,1410,9.028E+04,0.8249,0,1946,1.272E+04,4.752,0.07424,3.763E-05,1.791E-06,3.583E-05
8,0.1,0,4,32,2048,1459,9.323E+04,0.7667,0,2367,1.424E+04,4.907,0.07667,3.767E-05,1.837E-06,3.583E-05
8,0.11,0,4,32,2048,1369,8.747E+04,0.6539,0,3446,1.331E+04,4.604,0.07193,3.761E-05,1.772E-06,3.583E-05
8,0.12,0,4,32,2048,1464,9.354E+04,0.641,0,3203,1.393E+04,4.923,0.07692,3.776E-05,1.921E-06,3.583E-05
8,0.13,0,4,32,2048,1431,9.173E+04,0.5803,0,4016,1.357E+04,4.828,0.07544,3.767E-05,1.839E-06,3.583E-05
8,0.14,0,4,32,2048,1458,9.311E+04,0.5469,0,4095,1.595E+04,4.901,0.07657,3.771E-05,1.875E-06,3.583E-05
8,0.15,0,4,32,2048,1436,9.216E+04,0.5053,0,4168,1.676E+04,4.851,0.07579,3.771E-05,1.878E-06,3.583E-05
8,0.16,0,4,32,2048,1519,9.693E+04,0.4982,0,4799,1.382E+04,5.101,0.07971,3.778E-05,1.949E-06,3.583E-05
8,0.17,0,4,32,2048,1409,9.058E+04,0.4382,0,5406,1.592E+04,4.768,0.07449,3.768E-05,1.85E-06,3.583E-05
8,0.18,0,4,32,2048,1474,9.439E+04,0.4312,0,5642,1.451E+04,4.968,0.07762,3.775E-05,1.918E-06,3.583E-05
8,0.19,0,4,32,2048,1465,9.39E+04,0.4064,0,5588,1.763E+04,4.942,0.07722,3.772E-05,1.886E-06,3.583E-05
8,0.2,0,4,32,2048,1414,9.035E+04,0.3715,0,5971,1.748E+04,4.755,0.0743,3.764E-05,1.805E-06,3.583E-05
8,0.21,0,4,32,2048,1451,9.313E+04,0.3647,0,6208,1.644E+04,4.902,0.07659,3.772E-05,1.885E-06,3.583E-05
8,0.22,0,4,32,2048,1440,9.2E+04,0.3439,0,6431,1.76E+04,4.842,0.07566,3.767E-05,1.84E-06,3.583E-05
8,0.23,0,4,32,2048,1434,9.183E+04,0.3284,0,6433,1.656E+04,4.833,0.07552,3.768E-05,1.844E-06,3.583E-05
8,0.24,0,4,32,2048,1419,9.102E+04,0.3119,0,6593,1.591E+04,4.791,0.07486,3.772E-05,1.882E-06,3.583E-05
8,0.25,0,4,32,2048,1380,8.858E+04,0.2914,0,6948,1.878E+04,4.662,0.07284,3.766E-05,1.821E-06,3.583E-05
