# mesh_dimension, injection_load, RA_index, VC_index, size_of_flit, size_of_packet_in_bits, total_received_packets, total_received_flits, received_flits_ratio, average_wireless_utilization, global_average_delay, max_delay, network_throughput, average_IP_throughput, total_energy, dynamic_energy, static_energy
8,0.72,0,4,32,2048,2241,1.431E+05,0.1634,0,8572,1.789E+04,7.529,0.1176,3.849E-05,2.651E-06,3.583E-05
8,0.73,0,4,32,2048,2176,1.388E+05,0.1564,0,8825,1.778E+04,7.305,0.1141,3.846E-05,2.624E-06,3.583E-05
8,0.74,0,4,32,2048,2203,1.413E+05,0.157,0,8680,1.814E+04,7.437,0.1162,3.846E-05,2.63E-06,3.583E-05
8,0.75,0,4,32,2048,2142,1.373E+05,0.1505,0,8834,1.783E+04,7.224,0.1129,3.845E-05,2.611E-06,3.583E-05
8,0.76,0,4,32,2048,2161,1.38E+05,0.1494,0,8867,1.79E+04,7.265,0.1135,3.839E-05,2.552E-06,3.583E-05
8,0.77,0,4,32,2048,2193,1.398E+05,0.1493,0,8766,1.766E+04,7.357,0.115,3.845E-05,2.615E-06,3.583E-05
8,0.78,0,4,32,2048,2167,1.385E+05,0.1461,0,8974,1.836E+04,7.292,0.1139,3.842E-05,2.587E-06,3.583E-05
8,0.79,0,4,32,2048,2164,1.387E+05,0.1444,0,8758,1.822E+04,7.302,0.1141,3.847E-05,2.635E-06,3.583E-05
8,0.8,0,4,32,2048,2076,1.331E+05,0.1368,0,8848,1.814E+04,7.007,0.1095,3.836E-05,2.528E-06,3.583E-05
8,0.81,0,4,32,2048,2169,1.383E+05,0.1404,0,8876,1.822E+04,7.281,0.1138,3.843E-05,2.592E-06,3.583E-05
8,0.82,0,4,32,2048,2165,1.387E+05,0.1391,0,8930,1.823E+04,7.298,0.114,3.845E-05,2.612E-06,3.583E-05
8,0.83,0,4,32,2048,2170,1.391E+05,0.1378,0,8866,1.815E+04,7.322,0.1144,3.847E-05,2.636E-06,3.583E-05
8,0.84,0,4,32,2048,2177,1.391E+05,0.1362,0,8848,1.81E+04,7.322,0.1144,3.843E-05,2.601E-06,3.583E-05
8,0.85,0,4,32,2048,2217,1.415E+05,0.1369,0,9064,1.826E+04,7.446,0.1163,3.846E-05,2.622E-06,3.583E-05
8,0.86,0,4,32,2048,2187,1.4E+05,0.1339,0,8939,1.789E+04,7.369,0.1151,3.846E-05,2.627E-06,3.583E-05
8,0.87,0,4,32,2048,2185,1.396E+05,0.1319,0,9051,1.818E+04,7.345,0.1148,3.849E-05,2.652E-06,3.583E-05
8,0.88,0,4,32,2048,2129,1.364E+05,0.1274,0,8980,1.855E+04,7.176,0.1121,3.841E-05,2.58E-06,3.583E-05
8,0.89,0,4,32,2048,2151,1.377E+05,0.1272,0,9067,1.832E+04,7.246,0.1132,3.843E-05,2.601E-06,3.583E-05
8,0.9,0,4,32,2048,2147,1.373E+05,0.1255,0,9060,1.838E+04,7.229,0.1129,3.844E-05,2.601E-06,3.583E-05
8,0.91,0,4,32,2048,2164,1.383E+05,0.125,0,9120,1.8E+04,7.277,0.1137,3.844E-05,2.603E-06,3.583E-05
8,0.92,0,4,32,2048,2174,1.391E+05,0.1243,0,9088,1.85E+04,7.32,0.1144,3.843E-05,2.6E-06,3.583E-05
8,0.93,0,4,32,2048,2183,1.398E+05,0.1236,0,9001,1.818E+04,7.356,0.1149,3.846E-05,2.626E-06,3.583E-05
8,0.94,0,4,32,2048,2155,1.38E+05,0.1207,0,9116,1.817E+04,7.261,0.1134,3.844E-05,2.603E-06,3.583E-05
8,0.95,0,4,32,2048,2238,1.431E+05,0.1239,0,9230,1.824E+04,7.53,0.1177,3.85E-05,2.667E-06,3.583E-05
8,0.96,0,4,32,2048,2152,1.38E+05,0.1182,0,9200,1.833E+04,7.262,0.1135,3.843E-05,2.595E-06,3.583E-05
8,0.97,0,4,32,2048,2115,1.354E+05,0.1148,0,9298,1.871E+04,7.129,0.1114,3.84E-05,2.562E-06,3.583E-05
8,0.98,0,4,32,2048,2171,1.386E+05,0.1163,0,9296,1.868E+04,7.297,0.114,3.848E-05,2.649E-06,3.583E-05
8,0.99,0,4,32,2048,2143,1.368E+05,0.1136,0,9203,1.903E+04,7.2,0.1125,3.845E-05,2.615E-06,3.583E-05
